id,replaces,unit,difficulty,cognitive,question,choices,answer1based,answerFeedback,allChoiceFeedback,takeaway,material,context,scope,sources
920068,910068,4,4,3,Which observation demonstrates Dokdo’s function as a breeding site?,"[""A migrant rests on a rock and soon leaves"", ""A bird flies past above the islands"", ""A black-tailed gull feeds chicks at its nest""]",3,Raising chicks at a nest demonstrates use of a breeding site.,"[""This indicates a stopover but not breeding."", ""Flying past alone does not establish breeding on the islands."", ""Raising chicks at a nest demonstrates use of a breeding site.""]","Black-tailed gulls, storm petrels and streaked shearwaters are recorded as breeding seabirds on Dokdo.",Breeding involves producing and raising young; a stopover is a temporary pause during migration. The observations below are illustrative examples.,,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=16%2C03360000%2C37&pageNo=1_1_2_0 | https://dokdo.mofa.go.kr/kor/introduce/nature.jsp
920069,910069,4,1,1,Which seaweed grows in the waters around Dokdo?,"[""Wakame"", ""Streaked shearwater"", ""Seaside daisy""]",1,Wakame is a seaweed listed for waters around Dokdo.,"[""Wakame is a seaweed listed for waters around Dokdo."", ""A streaked shearwater is a seabird, not seaweed."", ""Seaside daisy is a flowering land plant on Dokdo.""]",Dokdo supports both seabirds and underwater seaweeds.,,,,https://dokdo.mofa.go.kr/kor/introduce/nature.jsp | https://www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=16%2C03360000%2C37&pageNo=1_1_2_0
920070,910070,4,2,2,How are Dokdo’s black-tailed gull and wakame classified?,"[""Seaweed / seabird"", ""Seabird / seaweed"", ""Seabird / seabird""]",2,The gull is a bird; wakame is a seaweed.,"[""The classifications have been reversed."", ""The gull is a bird; wakame is a seaweed."", ""Wakame is seaweed, not a bird.""]",Dokdo supports both seabirds and underwater seaweeds.,,,,https://dokdo.mofa.go.kr/kor/introduce/nature.jsp | https://www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=16%2C03360000%2C37&pageNo=1_1_2_0
920071,910071,4,3,3,"In “Dokdo is a breeding site for 海鳥類”, what does 海鳥類 mean?","[""Seaweeds"", ""Marine fish"", ""Seabirds""]",3,"The character 鳥 means bird, so the term refers to seabirds.","[""The term for seaweeds uses 藻 rather than 鳥."", ""The bird character indicates birds, not fish."", ""The character 鳥 means bird, so the term refers to seabirds.""]",Dokdo supports both seabirds and underwater seaweeds.,"Word key: 海 means sea, 鳥 bird, and 藻 algae. In Korean, 海鳥類 and 海藻類 sound alike but refer to seabirds and seaweeds respectively.",,,https://dokdo.mofa.go.kr/kor/introduce/nature.jsp | https://www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=16%2C03360000%2C37&pageNo=1_1_2_0
920072,910072,4,4,3,Which pair belongs entirely in the “seaweeds” category of Dokdo organisms?,"[""Wakame and kelp"", ""Wakame and streaked shearwater"", ""Black-tailed gull and storm petrel""]",1,Both are seaweeds listed in the Dokdo natural-environment account.,"[""Both are seaweeds listed in the Dokdo natural-environment account."", ""Wakame is seaweed, but the shearwater is a bird."", ""Both are seabirds, not seaweeds.""]",Dokdo supports both seabirds and underwater seaweeds.,"Dokdo list: seaweeds — wakame, kelp; seabirds — black-tailed gulls, storm petrels, streaked shearwaters.",,,https://dokdo.mofa.go.kr/kor/introduce/nature.jsp | https://www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=16%2C03360000%2C37&pageNo=1_1_2_0
920073,910073,4,1,1,Which flowering plant grows on Dokdo’s land?,"[""Wakame"", ""Seaside daisy"", ""Kelp""]",2,Seaside daisy is listed among Dokdo’s land plants.,"[""Wakame is an underwater seaweed."", ""Seaside daisy is listed among Dokdo’s land plants."", ""Kelp is seaweed, not a flowering land plant.""]","Plants on Dokdo include seaside daisy, island stonecrop and rock stonecrop.",,,,https://dokdo.mofa.go.kr/kor/introduce/nature.jsp
920074,910074,4,2,2,What would a survey of seaside daisy and island stonecrop on Dokdo investigate?,"[""Breeding seabirds"", ""Marine fish"", ""Land plants""]",3,Both are plants that grow on Dokdo’s land.,"[""These are plant names, not bird names."", ""These names refer to land plants, not fish."", ""Both are plants that grow on Dokdo’s land.""]","Plants on Dokdo include seaside daisy, island stonecrop and rock stonecrop.",,,,https://dokdo.mofa.go.kr/kor/introduce/nature.jsp
920075,910075,4,3,3,Which pair consists of land plants in the supplied Dokdo list?,"[""Island stonecrop and rock stonecrop"", ""Island stonecrop and wakame"", ""Wakame and kelp""]",1,Both appear in the land-plant list.,"[""Both appear in the land-plant list."", ""Island stonecrop is terrestrial, while wakame is seaweed."", ""Both appear in the seaweed list.""]","Plants on Dokdo include seaside daisy, island stonecrop and rock stonecrop.","Dokdo land plants: seaside daisy, island stonecrop, rock stonecrop.
Seaweeds: wakame and kelp.",,,https://dokdo.mofa.go.kr/kor/introduce/nature.jsp
920076,910076,4,4,3,"If a Dokdo plant survey records only wakame, what should be added to cover land plants?","[""Only other seaweeds such as kelp"", ""Land plants such as seaside daisy and island stonecrop"", ""Seabirds such as black-tailed gulls""]",2,Wakame alone does not represent plants growing on the islands’ land.,"[""Adding seaweeds still leaves land plants unrecorded."", ""Wakame alone does not represent plants growing on the islands’ land."", ""Seabirds matter to biodiversity surveys but are not plants.""]","Plants on Dokdo include seaside daisy, island stonecrop and rock stonecrop.","Survey goal: cover vegetation on both Dokdo’s land and in its waters. The current record contains only wakame, a seaweed.",,,https://dokdo.mofa.go.kr/kor/introduce/nature.jsp
920077,910077,4,1,1,What is protected together as part of Dokdo’s natural heritage?,"[""Only buildings"", ""Only vessels and the dock"", ""Organisms and volcanic landforms""]",3,"Conservation value includes plants, marine life and volcanic terrain as well as birds.","[""The natural reserve is not limited to protecting buildings."", ""Shipping facilities alone do not represent Dokdo’s natural heritage."", ""Conservation value includes plants, marine life and volcanic terrain as well as birds.""]","Dokdo conservation includes breeding seabirds, plants and volcanic landforms.",,,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=16%2C03360000%2C37&pageNo=1_1_2_0 | https://dokdo.mofa.go.kr/kor/introduce/nature.jsp
920078,910078,4,2,2,What natural processes are recorded in Dokdo’s coastal cliffs?,"[""Volcanic formation and erosion"", ""A valley carved by a glacier"", ""River-mouth sand deposition""]",1,Rock and cliff forms help reveal the island’s construction and erosion.,"[""Rock and cliff forms help reveal the island’s construction and erosion."", ""The cited account describes volcanism and coastal erosion, not a glacial valley."", ""River-mouth sand deposition relates to features such as deltas. Dokdo’s cliffs record erosion of volcanic rock.""]","Dokdo conservation includes breeding seabirds, plants and volcanic landforms.",,,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=16%2C03360000%2C37&pageNo=1_1_2_0 | https://dokdo.mofa.go.kr/kor/introduce/nature.jsp
920079,910079,4,3,3,What would a Dokdo plan that protects “only seabirds” omit?,"[""Storm petrels and black-tailed gulls"", ""Land plants and volcanic landforms"", ""Seabird breeding""]",2,The supplied account identifies vegetation and landforms as valuable too.,"[""Both are seabirds and therefore included in that restricted scope."", ""The supplied account identifies vegetation and landforms as valuable too."", ""Breeding-site protection is already directly related to seabirds.""]","Dokdo conservation includes breeding seabirds, plants and volcanic landforms.","The Dokdo Natural Reserve account describes breeding seabirds, land vegetation, volcanic geology and coastal landforms.",,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=16%2C03360000%2C37&pageNo=1_1_2_0 | https://dokdo.mofa.go.kr/kor/introduce/nature.jsp
920080,910080,4,4,4,Which interpretation-panel plan covers Dokdo’s conservation values most fully?,"[""Repeat only three seabird names"", ""Explain only facility addresses and ferry times"", ""Explain seabird breeding, land plants, volcanic and eroded terrain""]",3,This covers both biological and geological values identified in the account.,"[""Bird names alone leave out vegetation and landforms."", ""Visitor logistics do not explain the reserve’s natural heritage."", ""This covers both biological and geological values identified in the account.""]","Dokdo conservation includes breeding seabirds, plants and volcanic landforms.","The panel aims to explain why Dokdo is conserved as natural heritage. The reserve account identifies birds, vegetation and volcanic landforms.",,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=16%2C03360000%2C37&pageNo=1_1_2_0 | https://dokdo.mofa.go.kr/kor/introduce/nature.jsp
920081,910081,5,1,1,Which large seaweed helps form underwater forests around Dokdo?,"[""Ecklonia cava"", ""Seaside daisy"", ""Island stonecrop""]",1,Ecklonia cava is described as a forest-forming seaweed in Dokdo’s rocky waters.,"[""Ecklonia cava is described as a forest-forming seaweed in Dokdo’s rocky waters."", ""Seaside daisy is a land plant, unlike the underwater seaweed in the question."", ""Island stonecrop grows on land; the question concerns underwater seaweed.""]",Large seaweeds such as Ecklonia cava and Eisenia bicyclis form underwater forests around Dokdo.,,,,https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=87
920082,910082,5,2,2,What is an area where large seaweeds grow abundantly around Dokdo called?,"[""A tidal mudflat"", ""An underwater forest"", ""A coral reef""]",2,"An underwater forest is an area of large, abundant seaweeds.","[""A mudflat is sedimentary coastal habitat, not the name for a seaweed forest."", ""An underwater forest is an area of large, abundant seaweeds."", ""This forest consists of seaweeds, not reef-building corals.""]",Large seaweeds such as Ecklonia cava and Eisenia bicyclis form underwater forests around Dokdo.,,,,https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=87
920083,910083,5,3,3,Which pair forms underwater forests in the supplied Dokdo account?,"[""Mussels and stalked barnacles"", ""Crabs and turban snails"", ""Ecklonia cava and Eisenia bicyclis""]",3,"Both are identified as large, forest-forming seaweeds.","[""These are rock-attached animals, not seaweeds that form forests."", ""These animals may use rocky habitat but do not form seaweed forests."", ""Both are identified as large, forest-forming seaweeds.""]",Large seaweeds such as Ecklonia cava and Eisenia bicyclis form underwater forests around Dokdo.,Dokdo rocky-ecosystem account: large seaweeds form forests; mussels and barnacles attach to rock; crabs and snails also live in crevices.,,,https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=87
920084,910084,5,4,3,What should be directly compared to monitor changes in Dokdo’s underwater forests?,"[""Coverage of the forest-forming seaweeds in the same area"", ""A single water-temperature reading from different sites"", ""Only the area of seaside-daisy colonies on land""]",1,This measures the target forest itself at the same location.,"[""This measures the target forest itself at the same location."", ""Single temperature readings at different sites do not measure forest-area change through time."", ""Land-plant coverage does not measure the underwater seaweed forest.""]",Large seaweeds such as Ecklonia cava and Eisenia bicyclis form underwater forests around Dokdo.,Survey goal: determine whether the coverage of Dokdo’s seaweed forests changes over time.,,,https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=87
920085,910085,5,1,1,Which water flows meet around Dokdo?,"[""Only warm currents"", ""Warm and cold currents"", ""Only cold currents""]",2,Dokdo’s marine environment is influenced by meeting warm and cold currents.,"[""The account includes cold as well as warm currents."", ""Dokdo’s marine environment is influenced by meeting warm and cold currents."", ""An account limited to cold currents omits warm-current influence.""]",Warm and cold currents mix around Dokdo and influence nutrient transport.,,,,https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=82
920086,910086,5,2,2,What can mixing of deeper water supply to phytoplankton around Dokdo?,"[""Sunlight"", ""Seabird eggs"", ""Nutrients""]",3,Upward nutrient transport can support phytoplankton growth.,"[""Sunlight comes from above; it is not transported upward by deep water."", ""The described supply concerns nutrients in water, not seabird eggs."", ""Upward nutrient transport can support phytoplankton growth.""]",Warm and cold currents mix around Dokdo and influence nutrient transport.,,Phytoplankton are small organisms that use light and nutrients.,,https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=82
920087,910087,5,3,3,Which sequence links water mixing and nutrient supply around Dokdo?,"[""Vertical mixing → deeper nutrients move into upper water"", ""Vertical mixing → complete removal of upper-water nutrients"", ""Vertical mixing → nutrient transport always stops""]",1,This follows the sequence of mixing and upward nutrient transport.,"[""This follows the sequence of mixing and upward nutrient transport."", ""The account describes potential supply, not complete removal."", ""This contradicts transport through mixing.""]",Warm and cold currents mix around Dokdo and influence nutrient transport.,Dokdo island-effect account: currents and wind can promote vertical mixing and supply deeper nutrients to upper waters.,,,https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=82
920088,910088,5,4,4,"If vertical mixing around Dokdo decreases, what change should be checked first?","[""Only total young-fish abundance"", ""Nutrient supply to upper waters"", ""Only seabird breeding numbers""]",2,"In the supplied causal chain, nutrient transport is the immediate next step.","[""Fish abundance is further along the chain and has other influences; first check direct transport."", ""In the supplied causal chain, nutrient transport is the immediate next step."", ""Seabird breeding is not identified as the immediate next step in this chain.""]",Warm and cold currents mix around Dokdo and influence nutrient transport.,Relationship to examine: vertical mixing → nutrient supply to upper waters → support for phytoplankton growth. Reduced mixing alone does not establish an immediate decline in organisms.,,,https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=82
920089,910089,5,1,1,Which small photosynthetic organisms support food links around Dokdo?,"[""Young fish"", ""Sea lions"", ""Phytoplankton""]",3,Phytoplankton use light and can become food for other organisms.,"[""Young fish do not produce food through photosynthesis."", ""Sea lions consume other organisms and are not photosynthetic."", ""Phytoplankton use light and can become food for other organisms.""]","Food links around Dokdo can connect phytoplankton, zooplankton and young fish.",,,,https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=82
920090,910090,5,2,2,Which organisms consume phytoplankton in this Dokdo food link?,"[""Zooplankton"", ""Ecklonia cava"", ""Eisenia bicyclis""]",1,"In this link, zooplankton eat phytoplankton and can feed young fish.","[""In this link, zooplankton eat phytoplankton and can feed young fish."", ""This seaweed is not the phytoplankton-consuming animal in the supplied link."", ""This is also seaweed, distinct from consuming zooplankton.""]","Food links around Dokdo can connect phytoplankton, zooplankton and young fish.",,Simple food link: phytoplankton → zooplankton → young fish. Arrows run from food to consumer.,,https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=82
920091,910091,5,3,3,Which organisms eat zooplankton in the supplied food chain?,"[""Phytoplankton"", ""Young fish"", ""Ecklonia cava""]",2,The arrow runs from zooplankton to young fish.,"[""In this chain, phytoplankton are eaten by zooplankton."", ""The arrow runs from zooplankton to young fish."", ""The supplied chain does not identify this seaweed as a zooplankton consumer.""]","Food links around Dokdo can connect phytoplankton, zooplankton and young fish.",Simplified food link around Dokdo: phytoplankton → zooplankton → young fish. Arrows point from food organisms to their consumers.,,,https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=82
920092,910092,5,4,4,Which organisms should be surveyed to examine food supply for young fish around Dokdo?,"[""Only coastal seabird nest counts"", ""Only land-plant species on the islands"", ""Abundance of zooplankton used as food""]",3,This surveys the food directly consumed by the young fish in the given link.,"[""Nest counts do not measure zooplankton available to young fish."", ""A land-plant list does not measure the supplied marine food link."", ""This surveys the food directly consumed by the young fish in the given link.""]","Food links around Dokdo can connect phytoplankton, zooplankton and young fish.","Link for investigation: zooplankton consume phytoplankton, and some young fish consume zooplankton. This is not a complete web for all organisms around Dokdo.",,,https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=82
920093,910093,5,1,1,Which marine mammal once lived in groups on Dokdo but disappeared?,"[""Japanese sea lion"", ""Sea otter"", ""Seal""]",1,The Dokdo catch records and population study concern the extinct Japanese sea lion.,"[""The Dokdo catch records and population study concern the extinct Japanese sea lion."", ""A sea otter is a different marine mammal, not the sea lion in this historical account."", ""Seals and sea lions are different groups; this account concerns sea lions.""]","Sea lions once lived on Dokdo, and excessive hunting contributed greatly to their decline and extinction.",,,,https://www.mof.go.kr/doc/ko/selectDoc.do?bbsSeq=10&docSeq=45126&menuSeq=971 | https://www.mdpi.com/2077-1312/10/2/271
920094,910094,5,2,2,Which human activity contributed greatly to Dokdo sea lions’ decline?,"[""Expansion of farmland on the islands"", ""Excessive hunting"", ""Seaweed harvesting alone""]",2,Research using catch records identifies heavy hunting pressure as a major cause.,"[""The study identifies hunting, not farmland expansion, as the central human pressure."", ""Research using catch records identifies heavy hunting pressure as a major cause."", ""The research examines direct hunting of sea lions rather than seaweed harvesting alone.""]","Sea lions once lived on Dokdo, and excessive hunting contributed greatly to their decline and extinction.",,,,https://www.mof.go.kr/doc/ko/selectDoc.do?bbsSeq=10&docSeq=45126&menuSeq=971 | https://www.mdpi.com/2077-1312/10/2/271
920095,910095,5,3,3,Which historical human-activity records were used in research on Dokdo sea lions?,"[""Only annual seabird nest counts"", ""Only present fish catches"", ""Historical annual sea lion catches""]",3,Catch information provides a model input for population change.,"[""Bird nests do not record the number of sea lions caught."", ""Present fish catches differ in species and period from historical sea lion catches."", ""Catch information provides a model input for population change.""]","Sea lions once lived on Dokdo, and excessive hunting contributed greatly to their decline and extinction.",A 2022 study simulated historical sea lion population changes using surviving catch information and biological assumptions.,,,https://www.mof.go.kr/doc/ko/selectDoc.do?bbsSeq=10&docSeq=45126&menuSeq=971 | https://www.mdpi.com/2077-1312/10/2/271
920096,910096,5,4,3,Which component increases directly when hunting pressure rises in a sea lion model?,"[""Losses from the population through catches"", ""The number of newborns"", ""The number actually observed in a past survey""]",1,"Hunting directly adds catch losses, which must be compared with replacement through births.","[""Hunting directly adds catch losses, which must be compared with replacement through births."", ""Increased catches do not directly produce a matching increase in births."", ""Changing model assumptions does not alter historical observations.""]","Sea lions once lived on Dokdo, and excessive hunting contributed greatly to their decline and extinction.",Model balance: births increase the population; natural mortality and catches reduce it. Consider increasing hunting pressure while holding reproduction assumptions constant.,,,https://www.mof.go.kr/doc/ko/selectDoc.do?bbsSeq=10&docSeq=45126&menuSeq=971 | https://www.mdpi.com/2077-1312/10/2/271
920097,910097,5,1,1,What is a historical sea lion population calculated from records called?,"[""A complete count made at that time"", ""An estimate"", ""A live population count today""]",2,"A calculation from incomplete records and assumptions is an estimate, not a complete census.","[""The value was calculated rather than obtained by counting every individual."", ""A calculation from incomplete records and assumptions is an estimate, not a complete census."", ""It estimates a historical population, not current observations.""]",Modelled historical sea lion populations must be distinguished from complete field counts.,,,,https://www.mdpi.com/2077-1312/10/2/271 | https://www.mof.go.kr/doc/ko/selectDoc.do?bbsSeq=10&docSeq=45126&menuSeq=971
920098,910098,5,2,1,What does a historical Dokdo sea lion catch total count?,"[""Every sea lion alive at the time"", ""Sea lions born that year"", ""Sea lions caught by people""]",3,"A catch total counts sea lions taken by people. It is not the whole population, which also includes uncaught animals.","[""Uncaught animals may exist, so equality cannot be assumed."", ""Catches count animals taken by hunting, not births."", ""A catch total counts sea lions taken by people. It is not the whole population, which also includes uncaught animals.""]",Modelled historical sea lion populations must be distinguished from complete field counts.,,,,https://www.mdpi.com/2077-1312/10/2/271 | https://www.mof.go.kr/doc/ko/selectDoc.do?bbsSeq=10&docSeq=45126&menuSeq=971
920099,910099,5,3,3,Which label correctly describes a modelled sea lion population?,"[""An estimate calculated from historical records and assumptions"", ""A full count made by researchers at the historical time"", ""The number of sea lions now living on Dokdo""]",1,This identifies the calculation and distinguishes it from observation.,"[""This identifies the calculation and distinguishes it from observation."", ""The account describes modelling, not a historical full census."", ""The study concerns the historical population, not a present count.""]",Modelled historical sea lion populations must be distinguished from complete field counts.,Method: historical catch records were combined with assumptions about reproduction and mortality to calculate population change.,,,https://www.mdpi.com/2077-1312/10/2/271 | https://www.mof.go.kr/doc/ko/selectDoc.do?bbsSeq=10&docSeq=45126&menuSeq=971
920100,910100,5,4,4,What should be done if a reproductive assumption in the sea lion model changes?,"[""Relabel the old estimate as a direct observation"", ""Recalculate and compare how much the results change"", ""Alter catch records to match the desired result""]",2,This checks how strongly results depend on the assumption.,"[""Changing assumptions does not turn an estimate into an observation."", ""This checks how strongly results depend on the assumption."", ""Original records should not be altered; the model’s response should be examined.""]",Modelled historical sea lion populations must be distinguished from complete field counts.,The sea lion model uses catch records and assumptions about reproduction and mortality. A researcher wants to examine sensitivity to one assumption.,,,https://www.mdpi.com/2077-1312/10/2/271 | https://www.mof.go.kr/doc/ko/selectDoc.do?bbsSeq=10&docSeq=45126&menuSeq=971
920101,910101,6,1,1,On which main island is Dokdo Lighthouse?,"[""Seodo"", ""Dongdo""]",2,The lighthouse is on Dongdo; residents’ accommodation is on Seodo.,"[""Unlike the accommodation on Seodo, the lighthouse is on Dongdo."", ""The lighthouse is on Dongdo; residents’ accommodation is on Seodo.""]",Dokdo Lighthouse stands on Dongdo and helps vessels recognise their position at sea.,,,,https://dokdo.mofa.go.kr/kor/introduce/facility.jsp
920102,910102,6,2,2,How does Dokdo Lighthouse help passing vessels?,"[""It provides a docking space"", ""It converts seawater into fresh water"", ""It provides a light to help recognise location""]",3,The light serves as a navigational aid for recognising location.,"[""Docking space is provided by the dock, while a lighthouse is a navigational aid."", ""Water treatment is the role of desalination equipment, not the lighthouse."", ""The light serves as a navigational aid for recognising location.""]",Dokdo Lighthouse stands on Dongdo and helps vessels recognise their position at sea.,,,,https://dokdo.mofa.go.kr/kor/introduce/facility.jsp
920103,910103,6,3,3,What is the Dongdo facility that assists navigation using light?,"[""Dokdo Lighthouse"", ""Docking facility"", ""Desalination facility""]",1,Combining the location and function identifies Dokdo Lighthouse.,"[""Combining the location and function identifies Dokdo Lighthouse."", ""The dock is a landing space, not the light-based aid."", ""Desalination equipment processes seawater.""]",Dokdo Lighthouse stands on Dongdo and helps vessels recognise their position at sea.,Dongdo facility guide: lighthouse — navigation light; dock — vessel landing; desalination equipment — water production.,,,https://dokdo.mofa.go.kr/kor/introduce/facility.jsp
920104,910104,6,4,3,Which facilities respectively assist location recognition and landing at Dokdo?,"[""Dock → lighthouse"", ""Lighthouse → dock"", ""Desalination facility → accommodation""]",2,The lighthouse aids navigation; the dock provides the landing point.,"[""The functions have been reversed."", ""The lighthouse aids navigation; the dock provides the landing point."", ""These provide water and living space, not navigation and docking.""]",Dokdo Lighthouse stands on Dongdo and helps vessels recognise their position at sea.,"A vessel approaches Dokdo, recognises its position using a navigational aid, and docks at the designated place if landing is permitted. Choose the facilities in order.",,,https://dokdo.mofa.go.kr/kor/introduce/facility.jsp
920105,910105,6,1,1,On which main island is the dock used for ordinary visitor landings?,"[""Dongdo"", ""Seodo""]",1,Visitor guidance identifies Dongdo’s dock as the ordinary landing and viewing area.,"[""Visitor guidance identifies Dongdo’s dock as the ordinary landing and viewing area."", ""Seodo is not the standard landing area described for ordinary visits.""]",Dokdo’s main docking facility is on Dongdo and provides a vessel landing point.,,,,https://dokdo.mofa.go.kr/kor/introduce/facility.jsp | https://dokdo.mofa.go.kr/kor/introduce/residence.jsp
920106,910106,6,2,2,What is Dokdo’s docking facility used for?,"[""A helicopter landing area"", ""A place that signals location with light at night"", ""A place where vessels berth and people disembark""]",3,Docking means bringing a vessel alongside land or a facility.,"[""Helicopters use a helipad, not the vessel docking facility."", ""That describes the lighthouse’s navigational role."", ""Docking means bringing a vessel alongside land or a facility.""]",Dokdo’s main docking facility is on Dongdo and provides a vessel landing point.,,,,https://dokdo.mofa.go.kr/kor/introduce/facility.jsp | https://dokdo.mofa.go.kr/kor/introduce/residence.jsp
920107,910107,6,3,3,Which Dongdo facility is described as 80 metres long in the facility guide?,"[""Docking facility"", ""Lighthouse"", ""Residents’ accommodation""]",1,The 80-metre figure refers to the docking facility in the supplied guide.,"[""The 80-metre figure refers to the docking facility in the supplied guide."", ""The supplied guide does not identify 80 metres as the lighthouse height."", ""The accommodation is on Seodo and is not the described dock.""]",Dokdo’s main docking facility is on Dongdo and provides a vessel landing point.,Facility data: Dongdo’s dock is 80 metres long. The lighthouse and guard facilities are on Dongdo; residents’ accommodation is on Seodo.,,,https://dokdo.mofa.go.kr/kor/introduce/facility.jsp | https://dokdo.mofa.go.kr/kor/introduce/residence.jsp
920108,910108,6,4,3,How do the measurements “80 m dock” and “151 m between islands” differ?,"[""Both are distances from Dongdo to Seodo"", ""80 m is dock length; 151 m is the nearest shore-to-shore gap"", ""80 m is Dongdo’s height; 151 m is Seodo’s height""]",2,These measure different objects and should not be treated as the same route.,"[""The 80-metre value is the dock’s length."", ""These measure different objects and should not be treated as the same route."", ""Neither value denotes island elevation in this context.""]",Dokdo’s main docking facility is on Dongdo and provides a vessel landing point.,"Facility data: Dongdo dock, 80 m.
Terrain data: nearest shores of Dongdo and Seodo, about 151 m.",,,https://dokdo.mofa.go.kr/kor/introduce/facility.jsp | https://dokdo.mofa.go.kr/kor/introduce/residence.jsp
920109,910109,6,1,1,On which main island is Dokdo’s residents’ accommodation?,"[""Dongdo"", ""Seodo""]",2,The accommodation is a residential facility on Seodo.,"[""Dongdo has the lighthouse and guard facilities, while this accommodation is on Seodo."", ""The accommodation is a residential facility on Seodo.""]",Dokdo’s residents’ accommodation is on Seodo.,,,,https://dokdo.mofa.go.kr/kor/introduce/facility.jsp | https://www.mof.go.kr/doc/ko/selectDoc.do?bbsSeq=27&docSeq=20937&menuSeq=929
920110,910110,6,2,2,What is the main function of Seodo’s residents’ accommodation?,"[""A navigational signal for vessels"", ""A helicopter landing area"", ""Living accommodation""]",3,It is described as accommodation for people living on Dokdo.,"[""Light-based navigation is the lighthouse’s role."", ""A helipad is a landing facility, not residential accommodation."", ""It is described as accommodation for people living on Dokdo.""]",Dokdo’s residents’ accommodation is on Seodo.,,,,https://dokdo.mofa.go.kr/kor/introduce/facility.jsp | https://www.mof.go.kr/doc/ko/selectDoc.do?bbsSeq=27&docSeq=20937&menuSeq=929
920111,910111,6,3,3,Which facility in the supplied list belongs to Seodo?,"[""Residents’ accommodation"", ""Dokdo Lighthouse"", ""Dokdo guard facility""]",1,The list places the accommodation on Seodo.,"[""The list places the accommodation on Seodo."", ""The list places the lighthouse on Dongdo."", ""The list places the guard facility on Dongdo.""]",Dokdo’s residents’ accommodation is on Seodo.,"Dongdo: Dokdo Lighthouse and guard facilities.
Seodo: residents’ accommodation.",,,https://dokdo.mofa.go.kr/kor/introduce/facility.jsp | https://www.mof.go.kr/doc/ko/selectDoc.do?bbsSeq=27&docSeq=20937&menuSeq=929
920112,910112,6,4,4,Which fact corrects the claim that all living facilities on Dokdo are on Dongdo?,"[""The lighthouse is on Dongdo"", ""The residents’ accommodation is on Seodo"", ""The dock is on Dongdo""]",2,A residential facility on Seodo directly disproves the “all on Dongdo” claim.,"[""Another Dongdo example does not refute the universal claim."", ""A residential facility on Seodo directly disproves the “all on Dongdo” claim."", ""This is another Dongdo example and does not identify a Seodo facility.""]",Dokdo’s residents’ accommodation is on Seodo.,"Facility check: residents’ accommodation — Seodo; lighthouse, guard facilities and main dock — Dongdo.",,,https://dokdo.mofa.go.kr/kor/introduce/facility.jsp | https://www.mof.go.kr/doc/ko/selectDoc.do?bbsSeq=27&docSeq=20937&menuSeq=929
920113,910113,6,1,1,Which equipment converts seawater for use on Dokdo?,"[""Lighthouse"", ""Dock"", ""Desalination equipment""]",3,Desalination removes salt from seawater.,"[""A lighthouse is a navigational aid, not water-treatment equipment."", ""The dock provides a landing point, not fresh-water production."", ""Desalination removes salt from seawater.""]",Desalination equipment removes salt from seawater to provide usable fresh water.,,,,https://dokdo.mofa.go.kr/kor/introduce/facility.jsp | https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=66
920114,910114,6,2,2,What substance is chiefly removed when seawater is desalinated?,"[""Salt"", ""The water itself"", ""Only sand""]",1,Dissolved salt is removed to obtain usable fresh water.,"[""Dissolved salt is removed to obtain usable fresh water."", ""The aim is to retain water while reducing salt, not eliminate the water."", ""Removing sand alone does not remove dissolved salt.""]",Desalination equipment removes salt from seawater to provide usable fresh water.,,,,https://dokdo.mofa.go.kr/kor/introduce/facility.jsp | https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=66
